Tijdstip,Timestamp,Timertijd,Totale tijd,VOD link,
12-4-2021 3:00,26:30:00,45:06:00,58:00:00,https://www.twitch.tv/videos/983018888?t=26h30m,
12-4-2021 4:00,27:30:00,44:11:00,59:00:00,https://www.twitch.tv/videos/983018888?t=27h30m,
12-4-2021 5:00,28:30:00,43:11:00,60:00:00,https://www.twitch.tv/videos/983018888?t=28h30m,
12-4-2021 6:00,29:30:00,42:13:00,61:00:00,https://www.twitch.tv/videos/983018888?t=29h30m,
12-4-2021 7:00,30:30:00,41:17:00,62:00:00,https://www.twitch.tv/videos/983018888?t=30h30m,
12-4-2021 8:00,31:30:00,40:37:00,63:00:00,https://www.twitch.tv/videos/983018888?t=31h30m,
12-4-2021 9:00,32:30:00,40:16:00,64:00:00,https://www.twitch.tv/videos/983018888?t=32h30m,
12-4-2021 10:00,33:30:00,39:55:00,65:00:00,https://www.twitch.tv/videos/983018888?t=33h30m,
12-4-2021 11:00,34:30:00,41:43:00,66:00:00,https://www.twitch.tv/videos/983018888?t=34h30m,
12-4-2021 12:00,35:30:00,41:15:00,67:00:00,https://www.twitch.tv/videos/983018888?t=35h30m,
12-4-2021 13:00,36:30:00,41:18:00,68:00:00,https://www.twitch.tv/videos/983018888?t=36h30m,
12-4-2021 14:00,37:30:00,40:41:00,69:00:00,https://www.twitch.tv/videos/983018888?t=37h30m,
12-4-2021 15:00,38:30:00,40:31:00,70:00:00,https://www.twitch.tv/videos/983018888?t=38h30m,
12-4-2021 16:00,39:30:00,39:56:00,71:00:00,https://www.twitch.tv/videos/983018888?t=39h30m,
12-4-2021 17:00,40:30:00,40:21:00,72:00:00,https://www.twitch.tv/videos/983018888?t=40h30m,
12-4-2021 18:00,41:30:00,40:51:00,73:00:00,https://www.twitch.tv/videos/983018888?t=41h30m,
12-4-2021 19:00,42:30:00,40:15:00,74:00:00,https://www.twitch.tv/videos/983018888?t=42h30m,
12-4-2021 20:00,43:30:00,39:25:00,75:00:00,https://www.twitch.tv/videos/983018888?t=43h30m,
12-4-2021 21:00,44:30:00,38:50:00,76:00:00,https://www.twitch.tv/videos/983018888?t=44h30m,
12-4-2021 22:00,45:30:00,38:32:00,77:00:00,https://www.twitch.tv/videos/983018888?t=45h30m,
12-4-2021 23:00,0:11:00,38:54:00,78:00:00,https://www.twitch.tv/videos/985265302?t=11m,
13-4-2021 0:00,1:11:00,40:10:00,79:00:00,https://www.twitch.tv/videos/985265302?t=1h11m,
13-4-2021 1:00,0:57:00,39:57:00,80:00:00,https://www.twitch.tv/videos/985347243?t=0h57m,
13-4-2021 2:00,1:57:00,39:48:00,81:00:00,https://www.twitch.tv/videos/985347243?t=1h57m,
13-4-2021 3:00,2:57:00,39:20:00,82:00:00,https://www.twitch.tv/videos/985347243?t=2h57m,
13-4-2021 4:00,3:57:00,38:25:00,83:00:00,https://www.twitch.tv/videos/985347243?t=3h57m,
13-4-2021 5:00,4:57:00,37:32:00,84:00:00,https://www.twitch.tv/videos/985347243?t=4h57m,
13-4-2021 6:00,5:57:00,36:34:00,85:00:00,https://www.twitch.tv/videos/985347243?t=5h57m,
13-4-2021 7:00,6:57:00,35:35:00,86:00:00,https://www.twitch.tv/videos/985347243?t=6h57m,
13-4-2021 8:00,7:57:00,34:35:00,87:00:00,https://www.twitch.tv/videos/985347243?t=7h57m,
13-4-2021 9:00,8:57:00,33:51:00,88:00:00,https://www.twitch.tv/videos/985347243?t=8h57m,
13-4-2021 10:00,9:57:00,33:27:00,89:00:00,https://www.twitch.tv/videos/985347243?t=9h57m,
13-4-2021 11:00,10:57:00,36:40:00,90:00:00,https://www.twitch.tv/videos/985347243?t=10h57m,
13-4-2021 12:00,11:57:00,37:40:00,91:00:00,https://www.twitch.tv/videos/985347243?t=11h57m,
13-4-2021 13:00,12:57:00,37:16:00,92:00:00,https://www.twitch.tv/videos/985347243?t=12h57m,
13-4-2021 14:00,13:57:00,36:50:00,93:00:00,https://www.twitch.tv/videos/985347243?t=13h57m,
13-4-2021 15:00,14:57:00,36:20:00,94:00:00,https://www.twitch.tv/videos/985347243?t=14h57m,
13-4-2021 16:00,15:57:00,35:55:00,95:00:00,https://www.twitch.tv/videos/985347243?t=15h57m,
13-4-2021 17:00,16:57:00,35:25:00,96:00:00,https://www.twitch.tv/videos/985347243?t=16h57m,
13-4-2021 18:00,17:57:00,35:09:00,97:00:00,https://www.twitch.tv/videos/985347243?t=17h57m,
13-4-2021 19:00,18:57:00,35:21:00,98:00:00,https://www.twitch.tv/videos/985347243?t=18h57m,
13-4-2021 20:00,19:57:00,34:44:00,99:00:00,https://www.twitch.tv/videos/985347243?t=19h57m,
13-4-2021 21:00,20:57:00,34:00:00,100:00:00,https://www.twitch.tv/videos/985347243?t=20h57m,
13-4-2021 22:00,21:57:00,33:21:00,101:00:00,https://www.twitch.tv/videos/985347243?t=21h57m,
13-4-2021 23:00,22:57:00,39:21:00,102:00:00,https://www.twitch.tv/videos/985347243?t=22h57m,
14-4-2021 0:00,23:57:00,40:48:00,103:00:00,https://www.twitch.tv/videos/985347243?t=23h57m,
14-4-2021 1:00,24:57:00,40:22:00,104:00:00,https://www.twitch.tv/videos/985347243?t=24h57m,
14-4-2021 2:00,25:57:00,39:26:00,105:00:00,https://www.twitch.tv/videos/985347243?t=25h57m,
14-4-2021 3:00,26:57:00,38:46:00,106:00:00,https://www.twitch.tv/videos/985347243?t=26h57m,
14-4-2021 4:00,27:57:00,37:49:00,107:00:00,https://www.twitch.tv/videos/985347243?t=27h57m,
14-4-2021 5:00,28:57:00,38:50:00,108:00:00,,
14-4-2021 6:00,29:57:00,35:54:50,109:00:00,,
14-4-2021 7:00,30:57:00,34:57:42,110:00:00,,
14-4-2021 8:00,31:57:00,33:58:47,111:00:00,,
14-4-2021 9:00,32:57:00,33:02:20,112:00:00,,
14-4-2021 10:00,33:57:00,32:07:20,113:00:00,,
14-4-2021 11:00,34:57:00,31:17:02,114:00:00,,
14-4-2021 12:00,35:57:00,,115:00:00,,
14-4-2021 13:00,36:57:00,,116:00:00,,
14-4-2021 14:00,37:57:00,,117:00:00,,
14-4-2021 15:00,38:57:00,,118:00:00,,
14-4-2021 16:00,39:57:00,,119:00:00,,
14-4-2021 17:00,40:57:00,,120:00:00,,
14-4-2021 18:00,41:57:00,,121:00:00,,
14-4-2021 19:00,42:57:00,,122:00:00,,
14-4-2021 20:00,43:57:00,,123:00:00,,
14-4-2021 21:00,44:57:00,,124:00:00,,
14-4-2021 22:00,45:57:00,,125:00:00,,
14-4-2021 23:00,46:57:00,,126:00:00,,
15-4-2021 0:00,,,127:00:00,,
15-4-2021 1:00,,,128:00:00,,
15-4-2021 2:00,,,129:00:00,,
15-4-2021 3:00,,,130:00:00,,
15-4-2021 4:00,,,131:00:00,,
15-4-2021 5:00,,,132:00:00,,
15-4-2021 6:00,,,133:00:00,,
15-4-2021 7:00,,,134:00:00,,
15-4-2021 8:00,,,135:00:00,,
15-4-2021 9:00,,,136:00:00,,
15-4-2021 10:00,8:08:02,20:42:02,137:00:00,,
15-4-2021 11:00,,,138:00:00,,
15-4-2021 12:00,,,139:00:00,,
15-4-2021 13:00,,,140:00:00,,
15-4-2021 14:00,,,141:00:00,,
15-4-2021 15:00,,,142:00:00,,
15-4-2021 16:00,,,143:00:00,,
15-4-2021 17:00,,,144:00:00,,
15-4-2021 18:00,,,145:00:00,,
15-4-2021 19:00,,,146:00:00,,
15-4-2021 20:00,,,147:00:00,,
15-4-2021 21:00,,,148:00:00,,
15-4-2021 22:00,,,149:00:00,,
15-4-2021 23:00,,,150:00:00,,
16-4-2021 0:00,,,151:00:00,,
16-4-2021 1:00,,,152:00:00,,
16-4-2021 2:00,,,153:00:00,,
16-4-2021 3:00,,,154:00:00,,
16-4-2021 4:00,,,155:00:00,,
16-4-2021 5:00,,,156:00:00,,
16-4-2021 6:00,,,157:00:00,,
16-4-2021 7:00,,,158:00:00,,
16-4-2021 8:00,,,159:00:00,,
16-4-2021 9:00,,,160:00:00,,
16-4-2021 10:00,,,161:00:00,,
16-4-2021 11:00,,,162:00:00,,
16-4-2021 12:00,,,163:00:00,,
16-4-2021 13:00,,,164:00:00,,
16-4-2021 14:00,,,165:00:00,,
16-4-2021 15:00,,,166:00:00,,
16-4-2021 16:00,,,167:00:00,,
16-4-2021 17:00,,,168:00:00,,
16-4-2021 18:00,,,169:00:00,,
16-4-2021 19:00,,,170:00:00,,
16-4-2021 20:00,,,171:00:00,,
16-4-2021 21:00,,,172:00:00,,
16-4-2021 22:00,,,173:00:00,,
16-4-2021 23:00,,,174:00:00,,
17-4-2021 0:00,,,175:00:00,,
17-4-2021 1:00,,,176:00:00,,
17-4-2021 2:00,,,177:00:00,,
17-4-2021 3:00,,,178:00:00,,
17-4-2021 4:00,,,179:00:00,,
17-4-2021 5:00,,,180:00:00,,
17-4-2021 6:00,,,181:00:00,,
17-4-2021 7:00,,,182:00:00,,
17-4-2021 8:00,,,183:00:00,,
17-4-2021 9:00,,,184:00:00,,
17-4-2021 10:00,,,185:00:00,,
17-4-2021 11:00,,,186:00:00,,
17-4-2021 12:00,,,187:00:00,,
17-4-2021 13:00,,,188:00:00,,
17-4-2021 14:00,,,189:00:00,,
17-4-2021 15:00,,,190:00:00,,
17-4-2021 16:00,,,191:00:00,,
17-4-2021 17:00,,,192:00:00,,
17-4-2021 18:00,,,193:00:00,,
17-4-2021 19:00,,,194:00:00,,
17-4-2021 20:00,,,195:00:00,,
17-4-2021 21:00,,,196:00:00,,
17-4-2021 22:00,,,197:00:00,,
17-4-2021 23:00,,,198:00:00,,
18-4-2021 0:00,,,199:00:00,,
18-4-2021 1:00,,,200:00:00,,
18-4-2021 2:00,,,201:00:00,,
18-4-2021 3:00,,,202:00:00,,
18-4-2021 4:00,,,203:00:00,,
18-4-2021 5:00,,,204:00:00,,
18-4-2021 6:00,,,205:00:00,,
18-4-2021 7:00,,,206:00:00,,
18-4-2021 8:00,,,207:00:00,,
